Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,189.0479278564453,253.60299682617188,25231.609375,7952.0498046875,195.22000122070312,274.3599853515625,25231.609375,7952.0498046875,200.75,281.94000244140625,25493.23046875,8181.35986328125,192.72999572753906,270.8800048828125,25140.380859375,7850.9501953125,199.35000610351562,280.70001220703125,25459.9609375,8136.25,89168800.0,255316300.0,2627625600.0,4302610000.0
2020-03-12,171.7138671875,229.33895874023438,24309.0703125,7201.7998046875,177.32000732421875,248.11000061035156,24309.0703125,7201.7998046875,190.77999877929688,266.6600036621094,24657.669921875,7712.330078125,176.94000244140625,247.67999267578125,24117.939453125,7194.669921875,182.08999633789062,256.0,24657.669921875,7398.580078125,137820700.0,392220700.0,3748928400.0,5099350000.0
2020-03-13,186.25901794433594,248.94432067871094,24032.91015625,7874.8798828125,192.33999633789062,269.32000732421875,24032.91015625,7874.8798828125,194.47999572753906,271.4800109863281,24184.48046875,7875.93017578125,178.1300048828125,248.52000427246094,22519.3203125,7219.08984375,187.07000732421875,263.0899963378906,22519.3203125,7610.39013671875,134882000.0,329566100.0,5495155700.0,4701070000.0
2020-03-16,163.94737243652344,221.70384216308594,23063.5703125,6904.58984375,169.3000030517578,239.85000610351562,23063.5703125,6904.58984375,184.67999267578125,256.8999938964844,23631.529296875,7422.2001953125,169.16000366210938,237.36000061035156,22842.25,6882.85986328125,174.14999389648438,241.17999267578125,23317.810546875,7392.72998046875,92054400.0,297240000.0,4067029300.0,4618120000.0
2020-03-17,176.3814697265625,233.67410278320312,23263.73046875,7334.77978515625,182.13999938964844,252.8000030517578,23263.73046875,7334.77978515625,184.38999938964844,256.1700134277344,23401.19921875,7406.22998046875,169.77999877929688,237.07000732421875,22676.4609375,6828.91015625,175.47000122070312,245.0399932861328,23001.759765625,7072.0,121257100.0,262070500.0,3637973700.0,4920210000.0
2020-03-18,171.0166015625,221.84254455566406,22291.8203125,6989.83984375,176.60000610351562,240.0,22291.8203125,6989.83984375,179.22000122070312,248.3699951171875,23425.029296875,7182.830078125,166.8000030517578,228.02000427246094,22167.419921875,6686.35986328125,171.61000061035156,236.25,23023.33984375,6902.31982421875,114156300.0,327597100.0,4217153600.0,4935000000.0
2020-03-19,172.04310607910156,222.3139190673828,21709.130859375,7150.580078125,177.66000366210938,240.50999450683594,21709.130859375,7150.580078125,183.49000549316406,247.3800048828125,22380.33984375,7341.3798828125,171.6300048828125,232.22000122070312,21139.259765625,6858.3798828125,175.69000244140625,239.25,22221.380859375,6996.4501953125,120896500.0,289322000.0,5628397600.0,4778490000.0
2020-03-20,165.30313110351562,212.73345947265625,22805.0703125,6879.52001953125,170.6999969482422,228.8000030517578,22805.0703125,6879.52001953125,182.8699951171875,244.47000122070312,22805.0703125,7354.43994140625,170.10000610351562,228.5,22147.33984375,6854.669921875,181.74000549316406,242.52999877929688,22147.33984375,7248.06982421875,118983900.0,347158800.0,4528187900.0,5260300000.0
2020-03-23,165.42250061035156,207.29429626464844,21696.130859375,6860.669921875,170.4600067138672,222.9499969482422,21696.130859375,6860.669921875,174.2100067138672,229.67999267578125,21696.130859375,6984.93994140625,164.92999267578125,218.25999450683594,21696.130859375,6631.419921875,170.9199981689453,228.19000244140625,21696.130859375,6847.27978515625,124639800.0,326025200.0,0.0,4348410000.0
2020-03-24,178.23243713378906,226.07583618164062,22663.490234375,7417.85986328125,183.66000366210938,243.14999389648438,22663.490234375,7417.85986328125,183.8300018310547,244.10000610351562,22753.009765625,7418.3701171875,177.9499969482422,233.8000030517578,22383.25,7169.85986328125,179.91000366210938,234.4199981689453,22497.5703125,7196.14990234375,94881800.0,235494500.0,3614066700.0,4441080000.0
